regiao,estado,latitude,longitude,dataColeta,valorVenda
S,SC,-27.80579539999997,-50.30720139999999,14/04/2022,7.19
SE,SP,-23.5735915,-46.5636866,03/11/2021,6.499
N,PA,-4.272247599999975,-55.9795644,25/08/2021,6.09
SE,SP,-22.13752199999998,-51.38692870000001,14/06/2022,6.89
SE,MG,-17.85736999999997,-41.5147593,31/05/2022,7.39
SE,SP,-22.34360829999997,-46.944644,08/06/2022,6.57
N,AM,-3.090978799999975,-60.01415350000001,13/12/2021,6.59
NE,PE,-8.020643599999975,-34.92891180000001,02/03/2022,6.49
S,RS,-29.3788149,-50.8685593,27/04/2020,4.589
SE,SP,-23.1168567,-46.5799555,13/06/2022,6.79
NE,BA,-12.7100607,-38.3168607,06/04/2020,4.29
S,RS,-29.63773989999997,-51.0000873,03/03/2020,4.499
S,PR,-25.51144709999998,-48.5157612,25/05/2020,3.76
SE,MG,-19.4897002,-42.5613534,20/01/2020,4.959
SE,SP,-22.83036899999997,-47.16611229999999,23/08/2021,5.599
NE,PB,-7.2543125,-35.8873722,22/07/2020,4.149
SE,MG,-18.9210184,-48.2151001,23/06/2022,7.69
S,PR,-25.46942379999997,-49.31826909999999,24/02/2020,4.179
SE,SP,-23.52859159999997,-46.5803067,28/09/2021,5.549
CO,MT,-11.85070179999997,-55.52526019999999,24/05/2022,7.12
SE,SP,-22.3566478,-46.9577423,23/06/2022,6.47
SE,MG,-21.74890689999997,-43.3524317,13/06/2022,7.35
SE,MG,-20.9223185,-46.9867545,13/05/2020,4.588
CO,GO,-18.39991,-49.2030851,18/02/2020,4.67
S,RS,-29.84315459999997,-51.1137615,11/03/2021,5.599
SE,SP,-22.55742059999998,-47.3751311,11/08/2021,5.399
SE,SP,-23.4818185,-47.486261,15/04/2020,3.499
SE,SP,-22.9442815,-46.6638761,13/01/2022,6.19
SE,SP,-22.1857509,-47.38250000000001,28/07/2020,3.859
NE,SE,-10.6663094,-37.4062677,12/02/2020,4.689
SE,MG,-20.7378751,-42.8613509,22/01/2020,5.09
S,PR,-24.96361349999998,-48.5444659,25/05/2020,3.65
SE,SP,-23.67259519999998,-46.58048489999999,31/05/2021,5.399
NE,PB,-7.140582099999975,-34.9189844,27/05/2020,3.42
SE,SP,-21.1396695,-47.8044624,17/08/2021,5.799
NE,SE,-10.8559046,-37.0585963,17/01/2022,6.79
N,AC,-9.943806499999974,-67.8186305,20/04/2021,6.12
S,SC,-27.486771,-48.6560755,07/12/2021,6.769
S,PR,-25.54356139999997,-49.2043949,22/06/2022,7.59
S,SC,-26.108866,-49.80483539999999,18/10/2021,5.849
NE,BA,-12.2601933,-38.9666591,11/11/2021,6.63
NE,BA,-12.86119149999997,-38.28837970000001,26/10/2021,6.63
S,RS,-29.7796392,-55.78528499999999,30/11/2021,7.293
NE,BA,-14.197331,-41.6616587,23/06/2020,4.69
SE,RJ,-22.8394943,-43.0122641,03/01/2020,5.029
SE,ES,-19.81823219999998,-40.2734267,10/05/2022,7.69
SE,MG,-19.60681579999997,-46.9399532,02/09/2021,6.398
SE,SP,-22.1919656,-49.9405347,13/05/2020,3.297
N,AC,-9.937112399999975,-67.8247188,11/08/2021,6.21
SE,MG,-20.3821672,-43.4939657,04/03/2020,4.69
S,PR,-25.51375109999997,-48.49989910000001,31/08/2021,5.644
S,SC,-26.99167379999997,-51.0259876,29/01/2020,4.349
SE,MG,-21.7227137,-43.3534361,13/04/2020,4.499
SE,MG,-19.56258929999997,-46.9536257,14/07/2020,4.408
SE,RJ,-22.90208969999997,-43.256674,05/01/2021,4.799
SE,SP,-23.1613645,-46.5713978,15/04/2021,5.499
S,PR,-25.3472026,-49.1720853,02/03/2022,6.49
CO,GO,-17.79811099999997,-50.9383836,11/04/2022,7.49
SE,SP,-23.558825,-46.465729,17/11/2020,4.399
SE,MG,-3.7505743,-37.9784585,05/08/2020,4.35
SE,SP,-23.47840299999998,-46.5767715,12/08/2020,4.199
SE,SP,-22.87288949999997,-48.4449912,02/08/2021,5.649
CO,MS,-20.45255059999998,-54.5409367,18/01/2022,6.75
SE,SP,-22.0088972,-47.89771,21/06/2022,7.19
NE,SE,-10.91021079999997,-37.0732048,28/12/2020,4.599
S,RS,-31.68125579999997,-52.19695669999999,06/04/2021,5.999
