regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
N,-8.775219699999973,-63.8997813,20/10/2021,5.39,1,0,0,0,0,0
S,-29.99967749999997,-51.0558873,17/02/2021,5.189,0,0,0,1,0,0
NE,-3.705132999999975,-38.5720565,03/05/2021,5.899,0,0,0,0,1,0
SE,-20.30986979999997,-40.30451800000001,25/07/2021,5.97,0,0,0,1,0,0
SE,-23.62201009999998,-46.537701,26/04/2021,4.199,0,1,0,0,0,0
S,-29.8855004,-50.2710173,13/10/2021,4.679,0,1,0,0,0,0
NE,-12.23004019999997,-38.9321855,14/12/2021,6.58,0,0,0,1,0,0
SE,-23.68161679999998,-46.5218746,13/12/2021,5.399,0,1,0,0,0,0
SE,-22.53838039999997,-44.1692439,08/09/2021,6.899,0,0,0,1,0,0
SE,-21.93770889999998,-50.5173683,18/11/2021,6.769,0,0,0,0,1,0
SE,-19.7326531,-47.9020367,19/04/2021,4.399,0,1,0,0,0,0
SE,-20.25485879999997,-40.2909529,06/06/2021,5.699,0,0,0,0,1,0
NE,-3.9359433,-41.25912170000001,06/01/2021,3.799,0,0,1,0,0,0
SE,-20.25664009999997,-40.2702639,09/11/2021,5.249,0,1,0,0,0,0
NE,-3.8090286,-38.5655437,20/12/2021,6.97,0,0,0,0,1,0
N,-1.440238499999975,-48.4864462,15/08/2021,6.159,0,0,0,0,1,0
SE,-20.4481296,-45.4439216,09/11/2021,5.599,0,0,1,0,0,0
SE,-23.07189579999998,-45.6452821,21/09/2021,4.599,0,1,0,0,0,0
SE,-21.1288818,-42.365247,18/10/2021,6.749,0,0,0,0,1,0
SE,-23.88332599999998,-46.41485900000001,20/12/2021,5.597,0,0,1,0,0,0
SE,-22.96370959999998,-47.13345700000001,15/03/2021,5.199,0,0,0,1,0,0
NE,-7.287712899999974,-38.40323410000001,18/11/2021,5.24,1,0,0,0,0,0
SE,-22.8324882,-43.2918504,05/04/2021,4.499,0,1,0,0,0,0
NE,-3.721197999999974,-38.5279729,19/10/2021,6.67,0,0,0,1,0,0
SE,-20.721951,-48.9039133,02/12/2021,5.429,0,1,0,0,0,0
SE,-23.5172488,-46.6699305,23/03/2021,4.999,0,1,0,0,0,0
S,-25.38557209999997,-51.45745540000001,13/12/2021,5.299,0,0,1,0,0,0
NE,-5.1409395,-42.7837786,24/05/2021,4.799,0,0,1,0,0,0
NE,-9.590884899999974,-35.7228396,04/10/2021,6.229,0,0,0,0,1,0
SE,-23.5863688,-46.5576728,06/04/2021,5.368,0,0,0,1,0,0
N,-3.107662899999974,-60.0159328,22/03/2021,4.35,1,0,0,0,0,0
SE,-20.7851311,-49.368488,24/11/2021,6.299,0,0,0,1,0,0
